student_id,champion_name,champion_relation,champion_email,status,date_complete
466256749,Sherri Hoffman,Family,sherrihoffman@yahoo.com,Complete,8/26/2021
196208096,Gayle Hawkins,Parent / Guardian,gaylehawkins@icloud.net,Complete,9/2/2021
886784030,Eileen Farmer,Coach,eileenfarmer@yahoo.com,Complete,8/29/2021
937028111,--,--,--,--,--
981145697,Ellis Swanson,Sibling,ellisswanson@icloud.net,Complete,9/23/2021
799177291,Marty Chambers,Family,martychambers@champion.org,Complete,9/6/2021
680134577,Donna Floyd,Other,donnafloyd@champion.org,Complete,9/14/2021
85800751,Roosevelt Cobb,Teacher,rooseveltcobb@icloud.net,Complete,8/2/2021
556906900,--,--,--,Not Started,--
589203528,Kim Ortiz,Teacher,kimortiz@icloud.net,Complete,8/21/2021
701598495,Leona Ruiz,Sibling,leonaruiz@gmail.com,Complete,9/7/2021
984353696,Damon Allen,Family,damonallen@yahoo.com,Complete,9/29/2021
381777775,Casey Shelton,Coach,caseyshelton@champion.org,Complete,9/20/2021
901747779,Delia Webster,Other,deliawebster@yahoo.com,Complete,8/21/2021
600658923,Armando Silva,Family,armandosilva@icloud.net,Complete,8/13/2021
434731077,--,--,--,Not Started,--
1778521,--,--,--,Not Started,--
306154860,--,--,--,Not Started,--
507935343,Iris Carter,Coach,iriscarter@yahoo.com,Complete,8/2/2021
380759465,Rudy Phillips,Parent / Guardian,rudyphillips@yahoo.com,Complete,8/4/2021
972256119,Toni Carson,Teacher,tonicarson@icloud.net,Complete,8/11/2021
757641042,Ethel Townsend,Parent / Guardian,etheltownsend@icloud.net,Complete,9/19/2021
244310571,Alexandra Ellis,Sibling,alexandraellis@champion.org,Complete,8/24/2021
708125319,Wendell James,Parent / Guardian,wendelljames@gmail.com,Complete,9/24/2021
677202328,Melanie Romero,Family,melanieromero@gmail.com,Complete,9/21/2021
895750897,Frederick Kelly,Coach,frederickkelly@yahoo.com,Complete,9/20/2021
689648513,Constance Hernandez,Family,constancehernandez@champion.org,Complete,8/3/2021
317526082,Ron Caldwell,Teacher,roncaldwell@champion.org,Complete,9/3/2021
983738074,Gwendolyn Gilbert,Sibling,gwendolyngilbert@icloud.net,Complete,8/14/2021
117602351,Floyd Barnes,Parent / Guardian,floydbarnes@icloud.net,Complete,8/9/2021
392313329,Shelia Hamilton,Parent / Guardian,sheliahamilton@icloud.net,Complete,8/21/2021
838261527,Don Garza,Sibling,dongarza@gmail.com,Complete,8/4/2021
451747518,Ivan Meyer,Coach,ivanmeyer@icloud.net,Complete,8/27/2021
38710801,Verna Park,Family,vernapark@yahoo.com,Complete,8/18/2021
415786368,Kristi Logan,Sibling,kristilogan@icloud.net,Complete,9/30/2021
903887445,Earnest Higgins,Family,earnesthiggins@champion.org,Complete,8/27/2021
782378031,--,--,--,Not Started,--
806874440,Kristy Ramsey,Other,kristyramsey@champion.org,Complete,8/20/2021
264663330,Duane Garner,Family,duanegarner@icloud.net,Complete,9/29/2021
469687291,--,--,--,Not Started,--
732211274,Nadine Burns,Sibling,nadineburns@yahoo.com,Complete,8/24/2021
420267013,Susan Clarke,Parent / Guardian,susanclarke@champion.org,Complete,8/8/2021
772213554,Joshua Drake,Sibling,joshuadrake@yahoo.com,Complete,9/25/2021
424896548,Travis Phelps,Parent / Guardian,travisphelps@icloud.net,Complete,8/30/2021
763208743,--,--,--,Not Started,--
714309914,Carmen Cox,Family,carmencox@yahoo.com,Complete,9/12/2021
261896241,Henry Huff,Sibling,henryhuff@icloud.net,Complete,9/4/2021
963379475,Caleb Rodriguez,Family,calebrodriguez@gmail.com,Complete,9/15/2021
247453833,--,--,--,Not Started,--
628705937,Whitney Byrd,Sibling,whitneybyrd@yahoo.com,Complete,8/9/2021
102681827,Dana Arnold,Family,danaarnold@gmail.com,Complete,9/17/2021
3502056,May Diaz,Parent / Guardian,maydiaz@gmail.com,Complete,9/22/2021
27442012,Wilbur Rodriguez,Family,wilburrodriguez@icloud.net,Complete,8/13/2021
1101700,--,--,--,Not Started,--
691965372,--,--,--,Not Started,--
219312761,--,--,--,Not Started,--
934579751,Lillie Ross,Teacher,lillieross@yahoo.com,Complete,8/6/2021
767763101,Louise Campbell,Other,louisecampbell@yahoo.com,Complete,9/6/2021
